entity,endpoint,preview_real,extraction_real,rows_extracted,status,run_id,batch_id,bronze_path,silver_dataset,gold_dataset,postgres_registry,control_room_visible,app_visible,kb_visible,agent_visible,copilot_usable,errors,fix_applied,final_state
"User","/odata/v2/User","not-executed","yes","","failed-open","1bcdb6a6-acf9-4777-b0c4-ce3c1a7d2a49","1bcdb6a6-acf9-4777-b0c4-ce3c1a7d2a49","","sap_successfactors_user_latest","","yes","not-checked","not-checked","not-checked","not-checked","not-checked","ODATA_FILTER_OR_SCOPE","","failed-open"
"PerPerson","/odata/v2/PerPerson","yes","yes","0","empty-valid","5c45abe9-9f2f-4929-aeb2-92eed788f9a9","5c45abe9-9f2f-4929-aeb2-92eed788f9a9","s3://modecissions-lakehouse-783792/raw/sap_successfactors/PerPerson/tenant_id=b95f4d58-c9c8-4fd5-8d07-ddde294c7d78/works","sap_successfactors_perperson_latest","","yes","not-checked","not-checked","not-checked","not-checked","not-checked","","","empty-valid"
"PerPersonal","/odata/v2/PerPersonal","yes","yes","0","empty-valid","1f6aa76a-c7bc-4811-b633-de85d1d08087","1f6aa76a-c7bc-4811-b633-de85d1d08087","s3://modecissions-lakehouse-783792/raw/sap_successfactors/PerPersonal/tenant_id=b95f4d58-c9c8-4fd5-8d07-ddde294c7d78/wor","sap_successfactors_perpersonal_latest","","yes","not-checked","not-checked","not-checked","not-checked","not-checked","","","empty-valid"
"PerEmail","/odata/v2/PerEmail","yes","yes","0","empty-valid","e4f7affb-7a9f-4869-a62c-c567b969c9a7","e4f7affb-7a9f-4869-a62c-c567b969c9a7","s3://modecissions-lakehouse-783792/raw/sap_successfactors/PerEmail/tenant_id=b95f4d58-c9c8-4fd5-8d07-ddde294c7d78/worksp","sap_successfactors_peremail_latest","","yes","not-checked","not-checked","not-checked","not-checked","not-checked","","","empty-valid"
"PerPhone","/odata/v2/PerPhone","not-executed","yes","","failed-open","d06c7473-f9f0-4b8c-a29a-e038b7d8c536","d06c7473-f9f0-4b8c-a29a-e038b7d8c536","","sap_successfactors_perphone_latest","","yes","not-checked","not-checked","not-checked","not-checked","not-checked","ODATA_FILTER_OR_SCOPE","","failed-open"
"PerAddressDEFLT","/odata/v2/PerAddressDEFLT","not-executed","yes","","failed-open","8fd7c5a3-5faa-4290-a2c3-7c9d83b99120","8fd7c5a3-5faa-4290-a2c3-7c9d83b99120","","sap_successfactors_peraddressdeflt_latest","","yes","not-checked","not-checked","not-checked","not-checked","not-checked","ODATA_FILTER_OR_SCOPE","","failed-open"
"PerNationalId","/odata/v2/PerNationalId","yes","yes","939","extracted","ae6cb5ea-c52b-4076-86d7-e70e8b87d997","ae6cb5ea-c52b-4076-86d7-e70e8b87d997","s3://modecissions-lakehouse-783792/raw/sap_successfactors/PerNationalId/tenant_id=b95f4d58-c9c8-4fd5-8d07-ddde294c7d78/w","sap_successfactors_pernationalid_latest","","yes","not-checked","not-checked","not-checked","not-checked","not-checked","","","extracted"
"EmpEmployment","/odata/v2/EmpEmployment","yes","yes","0","empty-valid","a56cdd85-3e74-46c9-b461-bcd57b35d079","a56cdd85-3e74-46c9-b461-bcd57b35d079","s3://modecissions-lakehouse-783792/raw/sap_successfactors/EmpEmployment/tenant_id=b95f4d58-c9c8-4fd5-8d07-ddde294c7d78/w","sap_successfactors_empemployment_latest","","yes","not-checked","not-checked","not-checked","not-checked","not-checked","","","empty-valid"
"EmpJob","/odata/v2/EmpJob","yes","yes","0","empty-valid","ff812dee-a143-4f42-abdc-b26e5de30ebd","ff812dee-a143-4f42-abdc-b26e5de30ebd","s3://modecissions-lakehouse-783792/raw/sap_successfactors/EmpJob/tenant_id=b95f4d58-c9c8-4fd5-8d07-ddde294c7d78/workspac","sap_successfactors_empjob_latest","","yes","not-checked","not-checked","not-checked","not-checked","not-checked","","","empty-valid"
"EmpCompensation","/odata/v2/EmpCompensation","not-executed","yes","","failed-open","678807cc-2fa5-46db-819a-88f4030754ee","678807cc-2fa5-46db-819a-88f4030754ee","","sap_successfactors_empcompensation_latest","","yes","not-checked","not-checked","not-checked","not-checked","not-checked","ODATA_FILTER_OR_SCOPE","","failed-open"
